trial,status,valid_loss,best_epoch,stopped_epoch,final_lr,latent_dim,koopman_dim,lrelu_alpha,dropout_rate,regularize_coef,low_rank,learning_rate,error
58,ok,1.088776707649231,925,1000,8.463847458223329e-05,128,128,0.003460993848875707,0.2294411660992835,0.0,0.910137902935906,0.0008463847458223329,
59,ok,6.347299575805664,387,687,1e-06,32,16,0.0011728462886299862,0.3500398455155781,6.25477537773261e-06,0.964834326565505,3.0406980795166336e-05,
60,ok,4.836894989013672,739,1000,1e-06,256,16,0.003485001518505104,0.3161563200276923,0.004578449807075145,0.9337527514448923,2.0321937386709677e-05,
61,ok,1.2469266653060913,749,1000,1e-06,512,64,0.10228785764811006,0.399670605710907,5.789682520628811e-06,0.9915970520682919,0.0014500210427846163,
62,ok,4.958917140960693,965,1000,7.642351884312689e-05,32,16,0.001968298103501466,0.18579082100322925,0.0,0.9190287083312979,7.642351884312689e-05,
63,ok,2.840242385864258,950,1000,0.00025710943389691915,32,16,0.0006966873644873577,0.01332800069743112,1.737336946506531e-06,0.9519543118535315,0.00025710943389691915,
64,ok,4.944680213928223,534,834,5.373722338676757e-06,64,16,0.050680965782811484,0.4443860338159939,0.0,0.9778616314984191,0.0005373722338676756,
65,ok,1.1978936195373535,923,1000,2.0795914744276167e-06,256,256,0.002547654707123927,0.2830064871238787,4.793683689936195e-06,0.9921957702554375,0.002079591474427616,
66,ok,1.735853672027588,991,1000,0.0001278133261314771,256,16,0.03584254565439907,0.3671396708285579,0.0,0.9030670145105955,0.0001278133261314771,
67,ok,3.8906686305999756,996,1000,1.9983337492375055e-05,256,16,0.0011780978290610157,0.12629296287349812,0.1528783716696092,0.9352150521541083,1.9983337492375055e-05,
68,ok,2.4849648475646973,721,1000,1.6336050065151886e-06,32,32,0.1645398667897475,0.40950334953443135,1.147586545543385e-06,0.9070447093866709,0.0016336050065151883,
69,ok,2.333315134048462,984,1000,8.210699035982962e-05,64,16,0.12509267827456483,0.061594060614618695,0.011029475826386876,0.9007177382685019,8.210699035982962e-05,
70,ok,6.342325210571289,542,842,1e-06,32,16,0.00023496662591134947,0.17222480366930543,1.3241897276537532e-05,0.9958212349086707,2.1009532628527646e-05,
71,ok,6.073256492614746,976,1000,1e-06,64,32,0.0009511503084135145,0.4392051546206619,0.5826967863010615,0.9552651314305364,6.456235445942786e-05,
72,ok,0.3110692799091339,894,1000,1e-06,512,16,0.008268014538202518,0.07820153004150437,0.0,0.9896777638836055,0.002200695947441775,
73,ok,1.188278317451477,1000,1000,0.0001357495785112674,64,32,0.00040476788909463694,0.1862309627971998,2.6299237544253832e-05,0.9662532318019937,0.0013574957851126739,
74,ok,0.813971996307373,800,1000,1e-06,512,16,0.00027277394785162496,0.14969333093902903,0.016331163964315863,0.9416332577117815,0.0019714974274386756,
75,ok,0.9073603749275208,988,1000,2.0460236235364204e-05,512,128,0.0006589440687718426,0.31638949874511374,0.00013408638930879595,0.9636407466843597,0.00020460236235364204,
76,ok,2.6397039890289307,949,1000,8.327023283177532e-06,256,128,0.14977780249152886,0.450631165208932,0.0,0.9440856086252528,8.327023283177532e-05,
